,geaux_0.5,geaux_0.7,vina_0.5,vina_0.7
10gsA00,20.375232533136742,20.317966590926364,18.8527918525709,20.931010115485243
1a30A00,7.357693604551738,7.366731639947256,8.26353393391248,8.392227058415425
1bcuH00,2.315737810747365,2.373721675581406,4.74469856128922,4.7787588542947
1e66A01,4.315041517871222,5.622139320790705,6.052778917079956,4.51759877747966
1f8bA00,0.15430179843410757,0.15953154703694136,4.585737519745324,4.422696225154968
1f8cA00,0.17762901930709424,0.19649487143434577,4.606545609239097,4.434842967907658
1f8dA00,0.16950384361423768,0.21688136273087066,4.545357862699041,4.800786732401264
1gpkA01,5.432279080490375,4.9303327653077,5.0670431055333784,4.489456005154992
1h23A01,,,,
1hfsA00,1.3916607021137346,1.1467678233090275,4.77523055424069,11.132346085411854
1hnnA00,9.690878542732852,9.738195172764671,8.94996480839051,8.953757622999886
1igjD00,9.77930873375005,10.540811132579062,11.804523828211403,9.668224239535714
1jyqA00,22.79670677124137,22.740344129973558,24.999808287189452,25.584636444185254
1kelL00,,,,
1lbkB00,3.558230791278159,3.5166562058296225,7.308401942285331,7.345611339432546
1lolA00,2.780989759809747,2.7826554982755836,2.4769754405995505,2.468834255946181
1loqA00,0.9830773541719464,0.7491871938498228,6.238075168633656,6.313985919407502
1lorA00,0.9726126476006403,0.8229141803261253,5.800414432685743,1.7713559007925912
1mq6A00,9.049436498801091,6.555544697853532,8.333005578554609,7.475778008564282
1n1mA05,3.7116468932267788,3.958463664205257,2.817466843933866,2.7218860342294526
1n2vA00,1.4008497140426357,1.325906514049916,2.7538553338910154,2.757498649138382
1nvqA00,1.084420206838659,1.126355732365816,3.5016585554403923,4.094025565788925
1o3fA00,3.452292957962867,3.465338978281922,8.843775171271599,8.853490724002594
1o5bB00,2.6407677939452503,2.7036500211608523,6.86609574425166,5.380261167524234
1os0A00,2.688356637374269,2.6444757997434136,7.048629621625549,3.0669756718025285
1oytH00,4.261250551696454,4.185422143503966,8.479048211129989,8.55139369537699
1p1qC00,0.532791291942005,0.5447825557751684,5.457114375536975,3.4111787608481534
1ps3A01,3.2019846962470013,3.9189326309915047,2.825492324356943,2.817439185235414
1q8tA00,2.0825023359997568,4.315867779292287,6.966802040152043,6.998957942278106
1q8uA00,2.473986841021078,2.410796973560253,3.3078597653577644,3.2984022027201427
1qi0A00,,,,
1r5yA00,0.32417832699350524,0.3403440419973253,6.205919171986594,6.3170294442878765
1slnA00,6.991976400356544,5.148374254572296,7.165778655725917,8.162614159341706
1sqaA00,3.3451029626855635,3.2955619731253227,5.005782549760214,4.871886072480124
1u1bA00,9.840827038753737,9.987136400017224,10.938505196834551,11.11803492828956
1u33A01,,8.647982659300121,,7.830249502907158
1utoA00,3.997465140421975,2.7436001395166074,5.167469303246996,5.067006841650534
1vsoA00,2.4359398155048715,2.4833977716791473,4.925504528182149,4.934645855001726
1w3kA00,6.554583602080813,3.294258215296369,6.74911010359708,6.494659274760924
1w3lA00,9.674745467501328,9.7217075554529,8.734551271029897,10.092255067315232
1w4oA00,3.271014771843601,8.114556175610769,3.8087995296606056,9.832448237002488
1xd0A01,,9.639651973470636,,2.5840455104351396
1yc1A00,22.64635379934671,1.376299238295703,22.715604384553707,1.636945484284225
1z95A00,4.6482311680228765,5.335573669024373,7.5177544290281535,5.8810353416431
1zeaH00,14.649533282248763,,11.975727584815647,
2brbA00,4.885463479998597,6.410269887922036,5.35394946931702,5.354317132931145
2cbjA02,5.9261022170732085,6.345029033755479,6.583936673450012,9.086378438079716
2cetA00,,,,
2d1oA00,4.509930914340176,9.611929626928731,11.109541877470589,5.996946306246205
2d3uA02,,,,
2fvdA00,22.44419954865102,4.213370623265891,25.181588017835573,5.940132147800529
2g70A00,,,,
2gssA00,6.6713521001526015,5.769298281101072,5.473368826946479,5.547107472889764
2hb1A00,4.312270771381859,4.564623741808926,2.9802187120123547,2.995440225218515
2iwxA00,2.100290140175081,2.1763095584421492,5.276767867264961,0.8529385724267217
2j62A02,3.7832508195113554,28.202275930525207,4.361164319562176,28.82972470931373
2j78A00,7.015077301893291,2.1078470040085198,5.193592131730141,4.005569420770958
2jdmB00,0.15561736460519637,10.450895435280493,3.8026226366373335,10.50130363335905
2jduC00,23.651845123989094,0.2749732214234689,25.6419203324036,3.4218953203354037
2jdyA00,0.16907652113761998,0.2106265232768476,3.434464038357256,1.8828515403708608
2obfA00,,,,
2oleA00,4.7095596340493096,4.7554402681560415,7.308148449960953,7.372670662656782
2p4yA00,7.076645031580997,7.7280819325690375,9.993074396801017,7.635265545480393
2pcpB00,5.61790267156901,,5.483960257980643,
2pq9A01,1.155036395839666,1.1407032104301775,6.03404701021036,5.522994341840303
2qbpA00,,9.828555238003522,9.762216672014166,8.325346792549617
2qbrA00,5.213816684404183,5.286888114071859,5.643107822189573,5.6267735108903345
2qftA01,27.376127866445977,27.22062596003259,28.74224350150837,28.73540773679747
2qmjA02,,,,
2r23A00,,,,
2v00A00,5.320261082761822,5.375320547302272,3.9790920760897204,7.781090002371133
2v7aA00,6.91158957195397,7.126950052381653,10.493074864608836,10.398139123351418
2vl4A01,,,,
2vo5A03,,6.4319297519096095,,5.033015254298362
2votA03,,3.211959936917588,,6.90629944655273
2vvnA02,3.7380429374038764,3.8124447169762345,5.4801974188892135,5.484397528443758
2vw5A00,6.619361706325367,4.177244526033612,1.2870390005314094,6.736960969985733
2w66A02,3.3610923608441645,3.5326788734790204,5.257155789968564,3.49554431562525
2wbgA00,,,,
2wcaA02,4.792359995520648,4.752677923764353,10.073331298257019,10.092293732238364
2wegA00,4.629367212894024,22.837283994938073,2.5006967210977606,25.973963036436732
2wtvA00,7.362743812801122,7.589507023322321,8.859522492443803,3.7460112080169004
2x00A00,30.37970527467665,5.598682053406421,31.55221723566327,8.854475539583419
2x0yA02,,,,
2x8zA00,,,,
2x97A00,7.267469288710681,5.603854512691399,10.179953339775189,10.729061030129118
2xb8A00,5.928395039974985,5.843599561213806,4.321348563711438,4.012155932572004
2xbvA00,5.412647727006319,4.491991198047179,9.806640942918904,9.838700618532465
2xdlA00,3.1265747360330276,4.330453643239933,5.267221005900549,5.1295196899904765
2xhmA00,8.045961411772351,7.896905902981278,9.292417277805859,9.279824707104904
2xnbA00,5.1097419429295385,5.065236582935796,10.118004564654553,10.12671594055747
2xy9A00,7.326428284655224,7.271124139886972,10.433298921825102,10.614410995637664
2xysA00,30.429566559055683,30.44515486425385,30.372946287115447,30.3772877650392
2y5hA00,4.991106755665682,4.550550700278643,7.441502566794753,7.4336593233402795
2yfeA00,8.717017806750198,9.40119412793928,6.536561625197149,8.230094154989967
2ygeA00,4.766500598971954,4.779629000874441,2.495283801494331,6.535200796456066
2ykiA00,6.970958131271566,5.680591847505079,10.019423090119686,6.418831616698588
2ymdB00,,,,
2zcqA00,4.933760276867939,26.55508755848491,5.991323039195932,28.140195401595918
2zcrA00,2.988367637547774,2.934373084420492,5.509666946117783,5.562939106263882
2zjwA00,14.333171638925878,3.0887518294759313,14.978080331240415,2.8217203408236933
2zwzA01,4.203012052980577,4.244675600580882,2.721189200821337,2.8242222233150613
2zx6A01,,,,
2zxdA01,3.981539624734801,3.776185830195154,3.834241211330694,3.1110022098995684
3acwA00,3.583291390806582,3.6308035581803706,4.310180169695705,4.313675694810635
3ag9B00,,,,
3ao4A00,,,,
3b3sA00,2.3549727936621454,24.671293904567623,2.6696426727185787,22.63393315356392
3b3wA00,2.97725439625169,3.0504772245958156,2.6942681545994804,2.555308352778148
3b68A00,16.55056121616424,6.967660614350715,16.511192487365616,6.862292248456473
3bfuA00,1.1445693935566632,1.1134106377852393,3.9536310420506697,3.9787125534943253
3bkkA00,0.7954342872153413,0.7812245826976465,9.849558596990809,9.86173415136619
3bpcA00,6.21690425440488,14.093554933638993,8.009005716223456,15.056056342673205
3cftA00,0.39615611989887717,0.38328336254004053,5.022585277192082,4.545086695176085
3cj2A02,,,,
3coyA00,19.84004380374489,0.11782139983069526,18.05638625296128,4.194883154203387
3cyxA00,7.8840565767314255,7.880894239868974,5.9096396882464814,10.150602774903447
3d4zA01,2.698336008278329,2.660312080511285,2.332569077219365,2.341148192050828
3dd0A00,0.6109565174789445,0.389807911027983,3.9045404339051224,3.7793004726404065
3dxgA00,0.3641372510730638,0.3162104452959861,5.108268428081412,5.10763676599397
3e93A00,9.102297740443106,9.242305041916644,12.271761195437183,11.163364122904017
3ebpA02,,,,
3ehyA00,2.261158460118332,2.329752561337539,5.641231842947279,2.154730145517067
3ejrA02,8.402945935634715,8.397551682413155,4.116118487118659,4.121793007903236
3f17A00,0.6435338115955264,0.5865819388221741,7.217824612918849,7.200354174489977
3f3aA00,21.68074609589501,21.666844699878812,20.103506689132622,20.116731112848992
3f3cA00,0.2829346214233953,0.17865767222863263,3.0680014792895847,3.302207932697338
3f3eA00,,,,
3f80A00,0.33126920573253865,0.3714101540076691,4.156955917495398,3.682648548712371
3fcqA00,1.3665117533862834,16.675493471965723,3.547867719792109,17.903410850210317
3fk1A01,5.478774561158727,4.680462149403625,3.5415827111617775,2.830300001766598
3fv1A00,,,,
3g0wA00,14.901861115785728,4.965092782995097,16.758343393416506,4.461034642695944
3g2nA01,,,,
3g2zA00,1.0174018663695807,1.022802113727849,4.0942776483206975,4.107117873980394
3gbbA00,0.334107229127949,18.099194454035793,1.6740256867802241,18.364589778217816
3gcsA00,9.428716769645142,9.100994530681799,11.477481240455155,11.476489139486432
3ge7A00,26.66154988376015,3.165865477789847,28.20723665807439,5.267951309569973
3gnwA01,2.765622891822514,2.8368587074678855,5.536832274537819,5.526488682616739
3gy4A00,3.3770162901591094,3.3945352929377535,6.560816130634969,6.5112450268746604
3hucA00,6.331370973733653,6.748966091407111,6.3351416102737765,6.339130954575656
3i3bA01,2.834774232926966,34.22729595282835,3.78788632793189,33.0953685657072
3imcA00,5.268697742326846,5.317601803872254,4.194933329191732,4.205600292251014
3ivgB00,25.08820936142631,0.4823353898231625,27.672907366916313,6.410185717359091
3jvsA00,18.510315944359245,26.087717541376954,18.163834653875632,30.23890572149286
3k5vA00,,,,
3kgpA00,2.2484252745987674,31.339539857169104,5.568123912871454,33.291502756982624
3kv2A00,17.443868984951894,0.27783169965526505,19.594613862402767,4.69383108451934
3kwaA00,23.6038404701741,2.9657812385609295,22.10197998725777,3.5835723497251015
3l3nA00,3.849312097202131,3.8939047683527135,9.416226029513568,8.654121469950988
3l4uA02,,6.532082930915959,,7.518528249960529
3l4wA02,,,,
3l7bA01,,,,
3lkaA00,1.8214832845330569,1.6464503790984206,4.741461878998923,1.0707333935205345
3mfvA00,0.3233889584718971,0.29314569625148745,4.569166377427657,4.647221394802242
3mssA00,,,,
3muz101,3.3431532066797853,3.1520573157859935,3.8214731714353296,3.8275462810178182
3mygA00,7.934246162826898,,10.610983457405506,17.015895269815616
3n7aA00,6.680428704619189,7.065965182242739,4.518179417641579,4.548271081777485
3n86A00,5.019806411042943,5.5239975696953385,4.911482845244442,5.277904117125019
3noxA04,10.331306695393653,5.164347886574977,7.575421518210812,5.4922200754469825
3nq3A00,,4.571052216667405,,6.532683911175662
3nw9A00,5.856887277992062,5.786621577420037,9.280157078128411,9.661418935234371
3oe5A00,4.746856079486173,5.810143940307913,6.6164169184468475,6.5794027035502145
3ov1A00,3.6826726335079307,3.7180488982402964,4.272867954761009,9.50095423226159
3owjA00,4.306624362482037,33.98812427979878,5.135928696100499,35.65497494640224
3oztA00,4.779110328192085,4.887199246220483,6.575703053298657,6.545163262213728
3pe2A00,1.2736210931223435,1.3387654521122176,5.839731240522843,8.406966840754071
3pwwA00,8.003906917415586,8.226162349752757,9.153527885744493,3.045404949448012
3pxfA00,37.941747844463585,17.44776686610093,38.366777227303366,19.3736538334188
3s8oA00,5.264328356148707,5.308721440004888,3.761233577834143,3.575578388290601
3su2A00,,,,
3su3A00,,,,
3su5A00,,,,
3u9qA00,6.405532036646136,6.115801388684342,5.031913105370561,4.964962092839514
3udhA00,3.2230157474904515,3.329118964423728,4.733214280863632,1.8271492041663466
3ueuA00,,,,
3uexA00,,,,
3uo4A00,7.00379368640483,5.206449555450267,8.924288608758337,8.951855700510292
3uriA00,6.4203664420822095,10.392774304190683,10.864763167088505,14.027646851293891
3utuH00,6.542011482700656,6.576494700163347,8.534958058703616,8.567461575698125
3vd4A01,3.3691853199252786,36.675474407402014,3.920193558146502,35.59552175297711
3vh9A00,3.199162947482584,23.934631483043372,4.553550432953889,25.199000662003172
3zsoB00,7.0541412985403635,4.988067390123061,7.426058675673488,7.8723468012461755
3zsxB00,,,,
4de1A00,4.609869061801703,4.488339309569418,7.189419668785029,7.1615172457286995
4de2A00,19.75792170787665,7.06103254273646,19.812009176885617,3.2171865231907213
4desA00,27.955259127379726,1.9097447850983984,26.440998854450502,4.766219896864093
4dewA00,1.094527522767353,1.0786117607722399,4.250762519831,6.315022044979054
4djrB00,4.069633840992332,6.705381695325031,5.10426755764233,5.120652595128868
4djvA00,4.315282468862429,4.462637277960518,9.57329798934814,7.46953825786536
4g8mA00,0.38348890031742316,0.42890660599560243,2.3416926570325147,2.363248505764893
4gidA00,5.398537513087481,5.7213832214789875,7.604142699311303,10.224463497343548
4gqqA01,,,,
4tmnE00,7.2952831825509765,9.114176865329089,6.3207644601828905,7.508578926800997
